"Nom de l'image","Image","Image
(masques)","Reponse","Elements
interactibles description","","Couleur","Hexa","Explication Bravo","Explication Dommage","Indice"
"Video","Images/FPF_video9.mp4","","Fiable","","","","","Cette information paraît folle mais est bien réelle ! La vidéo est tirée du compte C quoi l'Info, une émission de France Télévision.","Cette information paraît folle mais est bien réelle ! La vidéo est tirée du compte C quoi l'Info, une émission de France Télévision.","Pas d'indices à trouver en cliquant sur la vidéo ! Qu'en penses-tu ? Cette nouvelle semble incroyable non ? La vidéo est tirée du compte C quoi l'Info, ça vaudrait le coup d'aller faire quelques recherches sur internet."
"Video","Images/FPF_video6.mp4","","Fake","","","","","C'était pas facile ! Effectivement il s'agissait bien d'un montage généré par Intelligence Artificielle (IA). Il faut vraiment rester attentif maintenant pour ne pas se faire avoir !","C'était bien une vidéo truquée dont l'audio a été généré par Intelligence Artificielle (IA) ! Tu peux t'en apercevoir notamment parce que l'intonnation de Michel Barnier est étrange, très saccadée. Les montages générés par IA sont de plus en plus réalistes, sois bien attentif aux détails !","C'est incroyable cette annonce ! La vidéo semble venir du JT de TF1, donc une source fiable, mais d'un autre côté tu ne trouves pas que la présentatrice et Michel Barnier (ancien premier ministre) parlent bizarrement ?"
"Video","Images/FPF_video7.mp4","","Fake","","","","","C'était bien une fake news ! Une théorie du complot assez connue, présentée via cette vidéo générée intégralement par IA. On la reconnaît grâce à cette voix que l'on entend partout, sur TikTok notamment. C'est ce que l'on pourraît appeler un contenu ""piège à clic"" ou ""clickbait"" en anglais : une histoire incroyable - car souvent fausse - et qui a pour seul but d'être beaucoup visionnée et partagée.","C'était une vidéo générée par IA qui parle d'une théorie du complot assez connue ! Tu avais reconnue cette voix robotique ? Attention, ce genre de vidéo sont très présentes sur les réseaux sociaux car elles sont faciles à produire. C'est ce que l'on pourrait appeler un contenu ""piège à clic"" ou ""clickbait"" en anglais : une histoire incroyable - car souvent fausse - et qui a pour seul but d'être beaucoup visionnée et partagée.","Pas d'indices à trouver en cliquant sur la vidéo, mais je reconnais cette voix ! A chaque fois c'est elle qui raconte des histoires folles sur Tik Tok ! Mais elle ne donne jamais ses sources..."
"Video","Images/FPF_video8.mp4","","Fiable","","","","","Il s'agissait bien d'une véritable information ! ExploreFR est un média très présent sur les réseaux sociaux et qui a pour ligne éditorial un mélange d'informations et de divertissement. Il créer parfois du contenu dit ""piège à clic"" avec un titre accrocheur, mais il est souvent tout de même fiable.","Il s'agissait bien d'une vraie information ! Il y avait quelques indices pour repérer que c'était un vrai travail journalistique : les sources des contenus vidéo étaient citées et mentionnées, la vidéo présente les avantages et les inconvénients de cette innovation, etc. 
ExploreFR est un média très présent sur les réseaux sociaux et qui a pour ligne éditorial un mélange d'informations et de divertissement. Il créer parfois du contenu dit ""piège à clic"" avec un titre accrocheur, mais il est souvent tout de même fiable.","Pas d'indices à trouver en cliquant sur la vidéo ! Qu'en penses-tu ? Cette nouvelle semble incroyable non ? Tu connais Explore Media ? Sur Wikipedia, ce média est présenté comme un mélange de contenus  d'éducation et de divertissement sur les réseaux sociaux."
"Image","Images/FPF_Image2.jpg","Images/FPF_Image2_M.png","Fake","Okay, on est sur un compte Facebook de voyage apparemment, mais je n'ai pas beaucoup plus d'informations ...","","Rouge","E30613","C'était une image générée par IA ! C'était trop beau pour être vrai... Tu as peut-être trouvé que les gens étaient bizarres ou que l'étoile sur le bâtiment semblait flotter, mais plus généralement fais-toi confiance : si ça semble louche, c'est que c'est souvent le cas.","C'était une image générée par IA ! C'était trop beau pour être vrai ! Sur ce genre de contenus, prends le temps de regarder les détails : les gens qui ""glissent"" sur les escaliers ou l'étoile sur le bâtiment qui semble voler, mais plus généralement méfie-toi des comptes qui montrent des choses incroyables sans donner plus de détails.","Oh c'est beau ! J'avais envie de faire une pause sur les réseaux sociaux et je suis tombé sur ce post ! Ca donne trop envie de découvrir l'île de Santorin en Grèce ! Mais as-tu été attentif à tous les détails de la photo ?"
"","","","","En plus de la photo, on nous indique qu'il s'agit d'une photo de l'Ile de Santorin, en Grèce","","Vert","3AAA35","","",""
"","","","","Wouah ! Le post a beaucoup été liké et partagé ! Ça voudrait dire que c'est vrai ?","","Jaune","FFED00","","",""
"Image","Images/FPF_Image3.jpg","Images/FPF_Image3_M.png","Fiable","AFP : Abréviation pour Agence France-Presse, une agence de presse internationale dont la principale mission est de récupérer, vérifier et diffuser une information auprès des médias et des administrations en assurant la neutralité et la fiabilité de cette information.","","Rouge","E30613","Cette histoire fait froid dans le dos … Mais tu avais bien regardé les sources ! Le Dauphiné Libéré relaie l’AFP (Agence France-Presse) qui vérifie toujours ses informations.","Aussi incroyable que cela puisse paraître, cette info est vraie ! Les infos relayées par l’AFP (Agence France-Presse) sont toutes vérifiées en amont et sont donc fiables.","Tu peux lire l'article en entier en scrollant l'image ! Essaie de cliquer sur les noms, titres et sources de l'article pour trouver des indices qui te permettront de savoir si ce contenu est faux ou non."
"","","","","Le Dauphiné Libéré : est un journal quotidien de la presse écrite française régionale.","","Orange","E94E1B","","",""
"","","","","Siteba : Village en Indonésie","","Jaune","FFED00","","",""
